Location,Latitude,Longitude
"Brigitte, Hammaguir, Algeria, France",47.797268,-3.497746
"LC-19, Cape Canaveral AFS, Florida, USA",28.403276,-80.59903
"LC-14, Cape Canaveral AFS, Florida, USA",28.403276,-80.59903
"SLC-20, Cape Canaveral AFS, Florida, USA",28.39402,-80.603151
"Mayak-2, Kapustin Yar, Russia",48.58175,45.74481
"SLC-5, Vandenberg AFB, California, USA",34.66324,-118.190974
"LA-3, Wallops Flight Facility, Virginia, USA",37.94074,-75.46742
"SLC-1E (75-3-5), Vandenberg AFB, California, USA",34.66324,-118.190974
"SLC-2E (75-1-1), Vandenberg AFB, California, USA",34.66324,-118.190974
"SLC-1W (75-3-4), Vandenberg AFB, California, USA",34.66324,-118.190974
"LC-18B, Cape Canaveral AFS, Florida, USA",28.39402,-80.603151
"LC-5, Cape Canaveral AFS, Florida, USA",28.403276,-80.59903
"LC-18A, Cape Canaveral AFS, Florida, USA",28.39402,-80.603151
"LC-11, Cape Canaveral AFS, Florida, USA",28.403276,-80.59903
"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",35.138238,-118.005406
"LC-26A, Cape Canaveral AFS, Florida, USA",28.39402,-80.603151
